Game #,Round,Away ID,Away Num,Away Abbr,Away Team,Home ID,Home Num,Home Abbr,Home Team,Matchup
379,28,831,2,AUT,"Autobahn",833,49,BAY,"Baytown Thunder","AUT @ BAY"
380,28,832,65,BAR,"Barrie Dolts",834,58,BFC,"Betty Ford Clinic","BAR @ BFC"
381,28,835,67,DHG,"Devil Hill Goblins",845,12,MGG,"Minnesota Golden Gophers","DHG @ MGG"
382,28,836,18,ETI,"Easter Island Stoneheads",844,13,MHT,"Minhattrick Swayzes","ETI @ MHT"
383,28,837,25,GRH,"Grand River Herons",847,51,OCW,"Orange County Weststars","GRH @ OCW"
384,28,838,37,HAM,"Hamilton Mustangs",848,17,PIT,"Pitt Intramurals","HAM @ PIT"
385,28,839,9,HIG,"Highland Wolf",846,26,NBK,"North Bay Knights","HIG @ NBK"
386,28,840,50,ING,"Inglewood Monstars",856,24,TEG,"Tegucigalpa Ticklepuss","ING @ TEG"
387,28,841,14,ITA,"Italy EBC",858,15,VHV,"Valhalla Vikings","ITA @ VHV"
388,28,842,39,MHA,"Maryhill Alumni",857,29,TBP,"Thunder Bay Pike","MHA @ TBP"
389,28,843,54,KAR,"Karolina Kaos",855,28,TAI,"Taipei Typhoons","KAR @ TAI"
390,28,853,20,SVF,"Sugar Valley Firebirds",849,30,PRO,"Providence Sea Bass","SVF @ PRO"
391,28,850,19,RIC,"Richfield Oracles",854,21,SUM,"Sumter Trash","RIC @ SUM"
392,28,859,63,WDY,"Woodlynne Rats",852,60,SHS,"South Hills Shindigaz","WDY @ SHS"
393,29,832,65,BAR,"Barrie Dolts",831,2,AUT,"Autobahn","BAR @ AUT"
394,29,833,49,BAY,"Baytown Thunder",845,12,MGG,"Minnesota Golden Gophers","BAY @ MGG"
395,29,834,58,BFC,"Betty Ford Clinic",844,13,MHT,"Minhattrick Swayzes","BFC @ MHT"
396,29,835,67,DHG,"Devil Hill Goblins",847,51,OCW,"Orange County Weststars","DHG @ OCW"
397,29,836,18,ETI,"Easter Island Stoneheads",848,17,PIT,"Pitt Intramurals","ETI @ PIT"
398,29,837,25,GRH,"Grand River Herons",846,26,NBK,"North Bay Knights","GRH @ NBK"
399,29,838,37,HAM,"Hamilton Mustangs",856,24,TEG,"Tegucigalpa Ticklepuss","HAM @ TEG"
400,29,839,9,HIG,"Highland Wolf",858,15,VHV,"Valhalla Vikings","HIG @ VHV"
401,29,840,50,ING,"Inglewood Monstars",857,29,TBP,"Thunder Bay Pike","ING @ TBP"
402,29,841,14,ITA,"Italy EBC",855,28,TAI,"Taipei Typhoons","ITA @ TAI"
403,29,842,39,MHA,"Maryhill Alumni",854,21,SUM,"Sumter Trash","MHA @ SUM"
404,29,843,54,KAR,"Karolina Kaos",853,20,SVF,"Sugar Valley Firebirds","KAR @ SVF"
405,29,849,30,PRO,"Providence Sea Bass",859,63,WDY,"Woodlynne Rats","PRO @ WDY"
406,29,851,66,ROC,"Rockford Villains",850,19,RIC,"Richfield Oracles","ROC @ RIC"
407,30,859,63,WDY,"Woodlynne Rats",832,65,BAR,"Barrie Dolts","WDY @ BAR"
408,30,833,49,BAY,"Baytown Thunder",858,15,VHV,"Valhalla Vikings","BAY @ VHV"
409,30,857,29,TBP,"Thunder Bay Pike",834,58,BFC,"Betty Ford Clinic","TBP @ BFC"
410,30,835,67,DHG,"Devil Hill Goblins",856,24,TEG,"Tegucigalpa Ticklepuss","DHG @ TEG"
411,30,855,28,TAI,"Taipei Typhoons",836,18,ETI,"Easter Island Stoneheads","TAI @ ETI"
412,30,837,25,GRH,"Grand River Herons",854,21,SUM,"Sumter Trash","GRH @ SUM"
413,30,853,20,SVF,"Sugar Valley Firebirds",838,37,HAM,"Hamilton Mustangs","SVF @ HAM"
414,30,839,9,HIG,"Highland Wolf",852,60,SHS,"South Hills Shindigaz","HIG @ SHS"
415,30,851,66,ROC,"Rockford Villains",840,50,ING,"Inglewood Monstars","ROC @ ING"
416,30,841,14,ITA,"Italy EBC",850,19,RIC,"Richfield Oracles","ITA @ RIC"
417,30,849,30,PRO,"Providence Sea Bass",842,39,MHA,"Maryhill Alumni","PRO @ MHA"
418,30,843,54,KAR,"Karolina Kaos",848,17,PIT,"Pitt Intramurals","KAR @ PIT"
419,30,847,51,OCW,"Orange County Weststars",844,13,MHT,"Minhattrick Swayzes","OCW @ MHT"
420,30,845,12,MGG,"Minnesota Golden Gophers",846,26,NBK,"North Bay Knights","MGG @ NBK"
421,31,859,63,WDY,"Woodlynne Rats",831,2,AUT,"Autobahn","WDY @ AUT"
422,31,858,15,VHV,"Valhalla Vikings",832,65,BAR,"Barrie Dolts","VHV @ BAR"
423,31,833,49,BAY,"Baytown Thunder",857,29,TBP,"Thunder Bay Pike","BAY @ TBP"
424,31,856,24,TEG,"Tegucigalpa Ticklepuss",834,58,BFC,"Betty Ford Clinic","TEG @ BFC"
425,31,835,67,DHG,"Devil Hill Goblins",855,28,TAI,"Taipei Typhoons","DHG @ TAI"
426,31,854,21,SUM,"Sumter Trash",836,18,ETI,"Easter Island Stoneheads","SUM @ ETI"
427,31,837,25,GRH,"Grand River Herons",853,20,SVF,"Sugar Valley Firebirds","GRH @ SVF"
428,31,852,60,SHS,"South Hills Shindigaz",838,37,HAM,"Hamilton Mustangs","SHS @ HAM"
429,31,839,9,HIG,"Highland Wolf",851,66,ROC,"Rockford Villains","HIG @ ROC"
430,31,850,19,RIC,"Richfield Oracles",840,50,ING,"Inglewood Monstars","RIC @ ING"
431,31,841,14,ITA,"Italy EBC",849,30,PRO,"Providence Sea Bass","ITA @ PRO"
432,31,848,17,PIT,"Pitt Intramurals",842,39,MHA,"Maryhill Alumni","PIT @ MHA"
433,31,843,54,KAR,"Karolina Kaos",847,51,OCW,"Orange County Weststars","KAR @ OCW"
434,31,846,26,NBK,"North Bay Knights",844,13,MHT,"Minhattrick Swayzes","NBK @ MHT"
435,32,831,2,AUT,"Autobahn",858,15,VHV,"Valhalla Vikings","AUT @ VHV"
436,32,859,63,WDY,"Woodlynne Rats",857,29,TBP,"Thunder Bay Pike","WDY @ TBP"
437,32,856,24,TEG,"Tegucigalpa Ticklepuss",833,49,BAY,"Baytown Thunder","TEG @ BAY"
438,32,834,58,BFC,"Betty Ford Clinic",855,28,TAI,"Taipei Typhoons","BFC @ TAI"
439,32,854,21,SUM,"Sumter Trash",835,67,DHG,"Devil Hill Goblins","SUM @ DHG"
440,32,836,18,ETI,"Easter Island Stoneheads",853,20,SVF,"Sugar Valley Firebirds","ETI @ SVF"
441,32,852,60,SHS,"South Hills Shindigaz",837,25,GRH,"Grand River Herons","SHS @ GRH"
442,32,838,37,HAM,"Hamilton Mustangs",851,66,ROC,"Rockford Villains","HAM @ ROC"
443,32,850,19,RIC,"Richfield Oracles",839,9,HIG,"Highland Wolf","RIC @ HIG"
444,32,840,50,ING,"Inglewood Monstars",849,30,PRO,"Providence Sea Bass","ING @ PRO"
445,32,848,17,PIT,"Pitt Intramurals",841,14,ITA,"Italy EBC","PIT @ ITA"
446,32,842,39,MHA,"Maryhill Alumni",847,51,OCW,"Orange County Weststars","MHA @ OCW"
447,32,846,26,NBK,"North Bay Knights",843,54,KAR,"Karolina Kaos","NBK @ KAR"
448,32,844,13,MHT,"Minhattrick Swayzes",845,12,MGG,"Minnesota Golden Gophers","MHT @ MGG"
449,33,857,29,TBP,"Thunder Bay Pike",831,2,AUT,"Autobahn","TBP @ AUT"
450,33,856,24,TEG,"Tegucigalpa Ticklepuss",832,65,BAR,"Barrie Dolts","TEG @ BAR"
451,33,858,15,VHV,"Valhalla Vikings",855,28,TAI,"Taipei Typhoons","VHV @ TAI"
452,33,854,21,SUM,"Sumter Trash",834,58,BFC,"Betty Ford Clinic","SUM @ BFC"
453,33,835,67,DHG,"Devil Hill Goblins",853,20,SVF,"Sugar Valley Firebirds","DHG @ SVF"
454,33,852,60,SHS,"South Hills Shindigaz",836,18,ETI,"Easter Island Stoneheads","SHS @ ETI"
455,33,837,25,GRH,"Grand River Herons",851,66,ROC,"Rockford Villains","GRH @ ROC"
456,33,850,19,RIC,"Richfield Oracles",838,37,HAM,"Hamilton Mustangs","RIC @ HAM"
457,33,839,9,HIG,"Highland Wolf",849,30,PRO,"Providence Sea Bass","HIG @ PRO"
458,33,848,17,PIT,"Pitt Intramurals",840,50,ING,"Inglewood Monstars","PIT @ ING"
459,33,841,14,ITA,"Italy EBC",847,51,OCW,"Orange County Weststars","ITA @ OCW"
460,33,846,26,NBK,"North Bay Knights",842,39,MHA,"Maryhill Alumni","NBK @ MHA"
461,33,843,54,KAR,"Karolina Kaos",845,12,MGG,"Minnesota Golden Gophers","KAR @ MGG"
462,33,844,13,MHT,"Minhattrick Swayzes",859,63,WDY,"Woodlynne Rats","MHT @ WDY"
463,34,831,2,AUT,"Autobahn",856,24,TEG,"Tegucigalpa Ticklepuss","AUT @ TEG"
464,34,857,29,TBP,"Thunder Bay Pike",855,28,TAI,"Taipei Typhoons","TBP @ TAI"
465,34,854,21,SUM,"Sumter Trash",833,49,BAY,"Baytown Thunder","SUM @ BAY"
466,34,858,15,VHV,"Valhalla Vikings",853,20,SVF,"Sugar Valley Firebirds","VHV @ SVF"
467,34,852,60,SHS,"South Hills Shindigaz",835,67,DHG,"Devil Hill Goblins","SHS @ DHG"
468,34,836,18,ETI,"Easter Island Stoneheads",851,66,ROC,"Rockford Villains","ETI @ ROC"
469,34,850,19,RIC,"Richfield Oracles",837,25,GRH,"Grand River Herons","RIC @ GRH"
470,34,838,37,HAM,"Hamilton Mustangs",849,30,PRO,"Providence Sea Bass","HAM @ PRO"
471,34,848,17,PIT,"Pitt Intramurals",839,9,HIG,"Highland Wolf","PIT @ HIG"
472,34,840,50,ING,"Inglewood Monstars",847,51,OCW,"Orange County Weststars","ING @ OCW"
473,34,846,26,NBK,"North Bay Knights",841,14,ITA,"Italy EBC","NBK @ ITA"
474,34,842,39,MHA,"Maryhill Alumni",845,12,MGG,"Minnesota Golden Gophers","MHA @ MGG"
475,34,859,63,WDY,"Woodlynne Rats",843,54,KAR,"Karolina Kaos","WDY @ KAR"
476,34,832,65,BAR,"Barrie Dolts",844,13,MHT,"Minhattrick Swayzes","BAR @ MHT"
477,35,855,28,TAI,"Taipei Typhoons",831,2,AUT,"Autobahn","TAI @ AUT"
478,35,854,21,SUM,"Sumter Trash",832,65,BAR,"Barrie Dolts","SUM @ BAR"
479,35,856,24,TEG,"Tegucigalpa Ticklepuss",853,20,SVF,"Sugar Valley Firebirds","TEG @ SVF"
480,35,852,60,SHS,"South Hills Shindigaz",834,58,BFC,"Betty Ford Clinic","SHS @ BFC"
481,35,857,29,TBP,"Thunder Bay Pike",851,66,ROC,"Rockford Villains","TBP @ ROC"
482,35,850,19,RIC,"Richfield Oracles",836,18,ETI,"Easter Island Stoneheads","RIC @ ETI"
483,35,858,15,VHV,"Valhalla Vikings",849,30,PRO,"Providence Sea Bass","VHV @ PRO"
484,35,848,17,PIT,"Pitt Intramurals",838,37,HAM,"Hamilton Mustangs","PIT @ HAM"
485,35,839,9,HIG,"Highland Wolf",847,51,OCW,"Orange County Weststars","HIG @ OCW"
486,35,846,26,NBK,"North Bay Knights",840,50,ING,"Inglewood Monstars","NBK @ ING"
487,35,841,14,ITA,"Italy EBC",845,12,MGG,"Minnesota Golden Gophers","ITA @ MGG"
488,35,859,63,WDY,"Woodlynne Rats",842,39,MHA,"Maryhill Alumni","WDY @ MHA"
489,35,844,13,MHT,"Minhattrick Swayzes",843,54,KAR,"Karolina Kaos","MHT @ KAR"
490,35,835,67,DHG,"Devil Hill Goblins",833,49,BAY,"Baytown Thunder","DHG @ BAY"
491,36,831,2,AUT,"Autobahn",854,21,SUM,"Sumter Trash","AUT @ SUM"
492,36,855,28,TAI,"Taipei Typhoons",853,20,SVF,"Sugar Valley Firebirds","TAI @ SVF"
493,36,852,60,SHS,"South Hills Shindigaz",833,49,BAY,"Baytown Thunder","SHS @ BAY"
